Beat_ID,Title,Era,Scripture_Ref,Biblical_Time,Weight,Real_Days,Start_Day,End_Day,Notes
BEAT_001,Creation & the Seven Days,Creation,Gen 1,In the beginning,6,1.3,1.0,2.3,Wonder of creation; the world named
BEAT_002,The Garden & the First Sin,Creation,Gen 2-3,Day 1,7,1.5,2.3,3.8,Adam & Eve; the Fall; first promise (Gen 3:15)
BEAT_003,Cain & Abel,Pre-Flood,Gen 4,early,5,1.1,3.8,4.9,First murder; first memorial page
BEAT_004,The Line of Seth; Enoch Walks with God,Pre-Flood,Gen 5,~AM 130-1000,2,0.4,4.9,5.3,Genealogy; Enoch 'was not'
BEAT_005,The World Grows Wicked,Pre-Flood,Gen 6:1-8,pre-flood,3,0.6,5.3,5.9,Corruption; grief of God
BEAT_006,Noah & the Ark (the building),Pre-Flood,Gen 6,~AM 1536-1656,5,1.1,5.9,7.0,The build; the mockers (ark-thread)
BEAT_007,The Flood,Pre-Flood,Gen 7-8,AM 1656,6,1.3,7.0,8.3,Catastrophe; the year in the ark
BEAT_008,The Rainbow Covenant; Noah's Sons,Post-Flood,Gen 9,post-flood,3,0.6,8.3,8.9,Covenant; the curse of Canaan
BEAT_009,The Table of Nations,Post-Flood,Gen 10,post-flood,1,0.2,8.9,9.1,Pure genealogy - flash by
BEAT_010,The Tower of Babel,Babel,Gen 11:1-9,~AM 1757,4,0.8,9.1,9.9,The scattering; languages confused
BEAT_011,From Shem to Abram,Post-Flood,Gen 11:10-32,AM 1658-2008,1,0.2,9.9,10.1,Genealogy - flash by
BEAT_012,The Call of Abram,Patriarchs,Gen 12,~AM 2021,5,1.1,10.1,11.2,Leave everything on a promise
BEAT_013,Abram & Lot Part Ways,Patriarchs,Gen 13,,3,0.6,11.2,11.8,The land dispute
BEAT_014,The War of Kings & Melchizedek,Patriarchs,Gen 14,,4,0.8,11.8,12.6,Rescue of Lot; bread & wine
BEAT_015,The Covenant of the Stars,Patriarchs,Gen 15,,5,1.1,12.6,13.7,'So shall your offspring be' (promise ember)
BEAT_016,Hagar & Ishmael,Patriarchs,Gen 16,,4,0.8,13.7,14.5,The surrogate; the God who sees
BEAT_017,The Covenant of Circumcision,Patriarchs,Gen 17,,3,0.6,14.5,15.1,Abram->Abraham; Sarai->Sarah
BEAT_018,The Three Visitors & Sodom,Patriarchs,Gen 18-19,,6,1.3,15.1,16.4,Sodom's fall; Lot's wife
BEAT_019,Isaac Born; Hagar Sent Away,Patriarchs,Gen 21,AM 2108,4,0.8,16.4,17.2,Laughter; the two sons
BEAT_020,The Binding of Isaac,Patriarchs,Gen 22,,7,1.5,17.2,18.7,The great test of faith
BEAT_021,Sarah's Death; A Bride for Isaac,Patriarchs,Gen 23-24,,5,1.1,18.7,19.8,Rebekah at the well
BEAT_022,Abraham Dies; Jacob & Esau Born,Patriarchs,Gen 25,AM 2168/2183,4,0.8,19.8,20.6,The twins; the stew
BEAT_023,The Stolen Birthright & Blessing,Patriarchs,Gen 25-27,,6,1.3,20.6,21.9,The defining rivalry
BEAT_024,Jacob's Ladder & Flight,Patriarchs,Gen 28,,4,0.8,21.9,22.7,Heaven opens at Bethel
BEAT_025,"Jacob, Leah & Rachel",Patriarchs,Gen 29-30,,6,1.3,22.7,24.0,Bait-and-switch wedding; the baby war
BEAT_026,Jacob Flees Laban,Patriarchs,Gen 31,,4,0.8,24.0,24.8,The flock trickery; the idols
BEAT_027,Wrestling God; Reunion with Esau,Patriarchs,Gen 32-33,,6,1.3,24.8,26.1,Renamed Israel; the embrace
BEAT_028,Dinah & Shechem,Patriarchs,Gen 34,,5,1.1,26.1,27.2,The scandal & the massacre
BEAT_029,Bethel; Rachel & Isaac Die,Patriarchs,Gen 35,,3,0.6,27.2,27.8,Benjamin born; Rachel's death
BEAT_030,The Generations of Esau,Patriarchs,Gen 36,,1,0.2,27.8,28.0,Edomite genealogy - flash by
BEAT_031,Joseph's Dreams & Betrayal,Patriarchs,Gen 37,~AM 2276,6,1.3,28.0,29.3,The coat; sold into slavery
BEAT_032,Judah & Tamar,Patriarchs,Gen 38,,4,0.8,29.3,30.1,Scandal that carries the messianic line
BEAT_033,Joseph & Potiphar's Wife,Patriarchs,Gen 39,,5,1.1,30.1,31.2,Integrity; the false charge; prison
BEAT_034,Dreams in Prison,Patriarchs,Gen 40,,4,0.8,31.2,32.0,Cupbearer & baker
BEAT_035,Pharaoh's Dreams; Joseph Rises,Patriarchs,Gen 41,,6,1.3,32.0,33.3,Prison to vizier overnight
BEAT_036,The Brothers Come to Egypt,Patriarchs,Gen 42-44,,6,1.3,33.3,34.6,The test; the silver cup; Judah's plea
BEAT_037,Joseph Reveals Himself,Patriarchs,Gen 45,,6,1.3,34.6,35.9,'I am Joseph!'; reconciliation
BEAT_038,Jacob Comes to Egypt,Patriarchs,Gen 46-47,AM 2298,4,0.8,35.9,36.7,The family reunited
BEAT_039,Jacob's Blessings & Death,Patriarchs,Gen 48-49,AM 2315,4,0.8,36.7,37.5,The crossed-hands blessing; the prophecies
BEAT_040,Joseph's Death,Patriarchs,Gen 50,AM 2369,3,0.6,37.5,38.1,"'You meant evil, God meant good'; the bones"
BEAT_041,Israel Enslaved; the Midwives,Exodus,Ex 1,~1500s BC,4,0.8,38.1,38.9,Shiphrah & Puah's defiance
BEAT_042,Moses Born & Exiled,Exodus,Ex 2,,5,1.1,38.9,40.0,The basket; the prince; Midian
BEAT_043,The Burning Bush,Exodus,Ex 3-4,,6,1.3,40.0,41.3,The reluctant call
BEAT_044,Confronting Pharaoh; the Plagues,Exodus,Ex 5-10,,7,1.5,41.3,42.8,The plague duel; Jannes & Jambres
BEAT_045,Passover & the Tenth Plague,Exodus,Ex 11-12,~1446 BC,8,1.7,42.8,44.5,Blood on the doorposts
BEAT_046,The Red Sea,Exodus,Ex 13-15,,8,1.7,44.5,46.2,The sea splits; Miriam's song
BEAT_047,"Manna, Water & Amalek",Wilderness,Ex 16-17,,4,0.8,46.2,47.0,Bread from heaven; Joshua's debut
BEAT_048,Jethro; Arriving at Sinai,Wilderness,Ex 18-19,,4,0.8,47.0,47.8,Delegation; thunder on the mountain
BEAT_049,The Ten Commandments & the Law,Wilderness,Ex 20-24,,6,1.3,47.8,49.1,The covenant given
BEAT_050,The Tabernacle Instructions,Wilderness,Ex 25-31,,2,0.4,49.1,49.5,Detailed design - low density
BEAT_051,The Golden Calf,Wilderness,Ex 32-34,,6,1.3,49.5,50.8,Aaron caves; Moses intercedes
BEAT_052,The Tabernacle Built,Wilderness,Ex 35-40,,3,0.6,50.8,51.4,Bezalel & Oholiab; the glory fills it
BEAT_053,Leviticus: Law & Priesthood,Wilderness,Leviticus,,2,0.4,51.4,51.8,Law-heavy; Nadab & Abihu
BEAT_054,The Census & Camp Order,Wilderness,Num 1-10,,2,0.4,51.8,52.2,The tribes arranged - low density
BEAT_055,"Grumbling, Quail, Miriam's Leprosy",Wilderness,Num 11-12,,4,0.8,52.2,53.0,Eldad & Medad; the murmuring
BEAT_056,The Twelve Spies & the 40 Years,Wilderness,Num 13-14,,6,1.3,53.0,54.3,Caleb vs the 10; the doom of a generation
BEAT_057,Korah's Rebellion,Wilderness,Num 16-17,,5,1.1,54.3,55.4,The ground opens
BEAT_058,Wandering; the Bronze Serpent,Wilderness,Num 20-21,,4,0.8,55.4,56.2,Miriam & Aaron die; Sihon & Og
BEAT_059,Balaam & Balak,Wilderness,Num 22-24,,5,1.1,56.2,57.3,The talking donkey; the oracles
BEAT_060,The Sin at Peor,Wilderness,Num 25,,4,0.8,57.3,58.1,Phinehas's zeal; Zimri & Cozbi
BEAT_061,Zelophehad's Daughters; Joshua Commissioned,Wilderness,"Num 27,36",,3,0.6,58.1,58.7,Inheritance rights; the handoff
BEAT_062,Moses' Farewell (Deuteronomy),Wilderness,Deuteronomy,,4,0.8,58.7,59.5,The great speeches; the choice
BEAT_063,The Death of Moses,Wilderness,Deut 34,,4,0.8,59.5,60.3,Sees the land; dies on Nebo
BEAT_064,Rahab & the Spies,Conquest,Josh 1-2,~1406 BC,5,1.1,60.3,61.4,The scarlet cord
BEAT_065,Crossing the Jordan,Conquest,Josh 3-4,,4,0.8,61.4,62.2,The waters heap up
BEAT_066,The Fall of Jericho,Conquest,Josh 5-6,,7,1.5,62.2,63.7,The walls come down
BEAT_067,Achan's Sin & Ai,Conquest,Josh 7-8,,5,1.1,63.7,64.8,The hidden loot; defeat then victory
BEAT_068,The Gibeonite Deception,Conquest,Josh 9,,4,0.8,64.8,65.6,The moldy-bread con
BEAT_069,The Sun Stands Still,Conquest,Josh 10,,5,1.1,65.6,66.7,The long day at Gibeon
BEAT_070,Conquest & Division of the Land,Conquest,Josh 11-22,,3,0.6,66.7,67.3,The allotments; Caleb's mountain
BEAT_071,Joshua's Farewell; Joseph Buried,Conquest,Josh 23-24,,3,0.6,67.3,67.9,'Choose this day'; the bones at Shechem
BEAT_072,The Cycle Begins; Othniel & Ehud,Judges,Judg 1-3,,4,0.8,67.9,68.7,The left-handed dagger
BEAT_073,"Deborah, Barak & Jael",Judges,Judg 4-5,,5,1.1,68.7,69.8,The tent peg; the victory song
BEAT_074,Gideon & the 300,Judges,Judg 6-8,,6,1.3,69.8,71.1,The fleece; torches and jars
BEAT_075,Abimelech's Bloody Reign,Judges,Judg 9,,4,0.8,71.1,71.9,70 brothers; the millstone
BEAT_076,Jephthah's Vow,Judges,Judg 10-12,,5,1.1,71.9,73.0,The tragic oath
BEAT_077,Samson & Delilah,Judges,Judg 13-16,,7,1.5,73.0,74.5,"The riddle, the hair, the temple"
BEAT_078,Idolatry & Civil War,Judges,Judg 17-21,,3,0.6,74.5,75.1,'Everyone did what was right in his own eyes'
BEAT_079,Ruth,Judges,Ruth,,5,1.1,75.1,76.2,Loyalty & redemption; the line to David
BEAT_080,Hannah & the Boy Samuel,Monarchy,1 Sam 1-3,~1100 BC,5,1.1,76.2,77.3,"The vow; 'Speak, LORD'"
BEAT_081,The Ark Captured & Returned,Monarchy,1 Sam 4-7,,4,0.8,77.3,78.1,Ichabod; the glory departs
BEAT_082,Israel Demands a King; Saul Anointed,Monarchy,1 Sam 8-10,,5,1.1,78.1,79.2,'A king like the nations'
BEAT_083,Saul's Reign & Rejection,Monarchy,1 Sam 11-15,,5,1.1,79.2,80.3,Agag; 'to obey is better than sacrifice'
BEAT_084,David Anointed; David & Goliath,Monarchy,1 Sam 16-17,~1025 BC,8,1.7,80.3,82.0,The shepherd & the giant
BEAT_085,Saul's Jealousy; David & Jonathan,Monarchy,1 Sam 18-20,,6,1.3,82.0,83.3,The spear; the covenant of friends
BEAT_086,David the Fugitive,Monarchy,1 Sam 21-26,,6,1.3,83.3,84.6,The cave; Abigail; sparing Saul
BEAT_087,Endor; Saul Falls at Gilboa,Monarchy,1 Sam 27-31,,5,1.1,84.6,85.7,The medium; the death of Saul
BEAT_088,David King; the Ark to Jerusalem,Monarchy,2 Sam 1-6,~1000 BC,6,1.3,85.7,87.0,David dances before the LORD
BEAT_089,The Davidic Covenant,Monarchy,2 Sam 7,,5,1.1,87.0,88.1,'Your throne forever' (messianic ember)
BEAT_090,David's Wars; Mephibosheth,Monarchy,2 Sam 8-10,,3,0.6,88.1,88.7,Kindness for Jonathan's sake
BEAT_091,Bathsheba & Uriah; Nathan's Rebuke,Monarchy,2 Sam 11-12,,7,1.5,88.7,90.2,The great fall; 'You are the man'
BEAT_092,Amnon & Tamar; Absalom's Revenge,Monarchy,2 Sam 13-14,,6,1.3,90.2,91.5,The family tragedy
BEAT_093,Absalom's Rebellion,Monarchy,2 Sam 15-18,,7,1.5,91.5,93.0,"'O Absalom, my son'"
BEAT_094,David Restored; Sheba's Revolt,Monarchy,2 Sam 19-20,,4,0.8,93.0,93.8,The return; Joab's ruthlessness
BEAT_095,David's Last Days; the Census,Monarchy,2 Sam 21-24,,3,0.6,93.8,94.4,Rizpah's vigil; the threshing floor
BEAT_096,Solomon Secures the Throne,Monarchy,1 Kings 1-2,~970 BC,4,0.8,94.4,95.2,Adonijah; the succession
BEAT_097,Solomon's Wisdom,Monarchy,1 Kings 3-4,,5,1.1,95.2,96.3,The divided baby
BEAT_098,Building the Temple,Monarchy,1 Kings 5-8,,6,1.3,96.3,97.6,The golden age; the dedication
